Temp Average,PRECTOTCORR Average,Date,NDVI_Mean,NDVI_Std,SAVI_Mean,SAVI_Std,SDMI_Mean,SDMI_Std
21.74516129,0.614516129,2023-03-01,0.07154908,0.054574095,0.10731507,0.08185819,-0.064774744,0.05054837
24.054,1.010666667,2023-04-01,0.06751461,0.048884306,0.101263724,0.073324665,-0.05687035,0.047032624
31.27951613,0.102903226,2023-05-01,0.061600387,0.046402596,0.09239303,0.0696024,-0.073470145,0.042555243
34.90683333,0.0,2023-06-01,0.05813853,0.046806164,0.087200835,0.0702073,-0.07655494,0.043575212
36.94096774,0.0,2023-07-01,0.063237384,0.044954356,0.0948485,0.0674301,-0.073963426,0.04510126
36.93532258,0.0,2023-08-01,0.056643844,0.044019967,0.08495882,0.06602827,-0.07960921,0.044055972
34.621,0.0,2023-09-01,0.0567817,0.04345983,0.08516538,0.065188155,-0.07969025,0.04481644
29.175,0.116774194,2023-10-01,0.058880802,0.042886708,0.088313825,0.064328514,-0.07611408,0.0461324
23.22616667,0.27,2023-11-01,0.050033536,0.045117516,0.07504336,0.06767371,-0.080577426,0.049409166
17.59516129,0.69483871,2023-12-01,0.05830286,0.04846724,0.08744661,0.072697885,-0.0810345,0.055045284
17.3,0.051,2024-01-01,0.057366356,0.045223974,0.08604178,0.067833595,-0.07573441,0.0541903
