YEAR,MO,DY,Temp_Max,Temp_Min,PRECTOTCORR
2019,5,16,39.56,24.7,0.0
2019,5,17,35.75,26.46,0.0
2019,5,18,37.76,24.73,0.0
2019,5,19,37.9,24.49,0.0
2019,5,20,37.9,24.63,0.0
2019,5,21,37.83,23.33,0.0
2019,5,22,38.73,23.8,0.0
2019,5,23,39.98,25.73,0.0
2019,5,24,40.27,24.07,0.0
2019,5,25,41.07,24.98,0.0
2019,5,26,40.69,22.98,0.0
2019,5,27,41.4,26.1,0.0
2019,5,28,41.57,26.7,0.0
2019,5,29,42.51,27.05,0.0
2019,5,30,43.5,26.49,0.0
2019,5,31,43.01,26.72,0.0
2019,6,1,42.59,27.78,0.0
2019,6,2,43.21,26.59,0.0
2019,6,3,42.44,29.09,0.0
2019,6,4,42.8,26.87,0.0
2019,6,5,42.17,26.12,0.0
2019,6,6,41.83,27.23,0.0
2019,6,7,43.44,27.44,0.0
2019,6,8,43.76,27.55,0.0
2019,6,9,44.35,29.47,0.0
2019,6,10,45.2,28.58,0.0
2019,6,11,45.05,27.78,0.0
2019,6,12,44.92,28.39,0.0
2019,6,13,44.24,27.96,0.0
2019,6,14,44.39,28.81,0.0
2019,6,15,45.74,31.82,0.0
2019,6,16,46.16,31.45,0.0
2019,6,17,45.76,30.0,0.0
2019,6,18,44.84,29.82,0.0
2019,6,19,43.49,28.24,0.0
2019,6,20,41.9,27.71,0.0
2019,6,21,39.83,25.71,0.0
2019,6,22,40.94,25.62,0.0
2019,6,23,41.66,24.52,0.0
2019,6,24,43.14,28.01,0.0
2019,6,25,45.23,28.06,0.0
2019,6,26,46.3,28.62,0.0
2019,6,27,46.03,28.29,0.0
2019,6,28,46.33,30.58,0.0
2019,6,29,46.18,29.6,0.0
2019,6,30,46.72,29.54,0.0
2019,7,1,45.04,28.36,0.0
2019,7,2,43.89,27.88,0.0
2019,7,3,43.26,28.58,0.0
2019,7,4,44.83,28.05,0.0
2019,7,5,44.62,29.11,0.0
2019,7,6,45.49,28.55,0.0
2019,7,7,46.15,29.98,0.0
2019,7,8,46.4,30.62,0.0
2019,7,9,44.12,29.44,0.0
2019,7,10,43.05,27.75,0.0
2019,7,11,43.51,27.29,0.0
2019,7,12,44.2,26.69,0.0
2019,7,13,43.57,27.48,0.0
2019,7,14,43.12,27.4,0.0
2019,7,15,43.46,26.73,0.0
